Name, Address, Zip, City
Krhome, Via Eleonora Duse 5/G, 00197, Roma
Affiliato Tecnocasa: IMMOBILIARE VIGNA CLARA FLEMING S.R.L., VIA CIVITELLA D'AGLIANO 9, 00191, Roma
Affiliato Tecnorete: IMMOBILIARE MALATESTA S.R.L., VIA DI ACQUA BULLICANTE 228, 228, Roma
GP Studio Immobiliare, Via Lattanzio  14, 00136, Roma
Rezza Spa, viale bruno buozzi 1, 00197, Roma
Rezza Spa, piazza di spagna  32, 00187, Roma
Rezza Spa, viale bruno buozzi 1, 00197, Roma
Rezza Spa, piazza di spagna 60, 00187, Roma
Rezza Spa, Piazza di Spagna 60, 00187, Roma
Solari Immobiliare dal 1989, Circonvallazione Cornelia 64/64a, 00165, Roma
Sistemia Aste - Consulenza Gratuita, Piazzale Luigi Sturzo 15, 00144, Roma
Sistemia SPA, Piazzale Luigi Sturzo 15, 00144, Roma
Studio Consulenza De Angelis & Bracigliano S.r.l.s. , Via Roma 107, 107, Pomezia
Coldwell Banker Bodini International Real Estate, Via Panama 16, 00198, Roma
Engel & Völkers Roma • Market Center, Corso Vittorio Emanuele II  284, 284, Roma
EMANUELA MARIANI, Via JF Kennedy  52, 00043, Ciampino
Istituto Immobiliare Italia, Via Premuda 3, 00195, Roma
Onorati Immobiliare, Via Cavour 71, 00012, Montecelio
Avv. Roberto Proietti, Viale del Vignola 5, 00196, Roma
Corsini real estate consulting, viale Mazzini 119, 119, Roma
UniCredit Subito Casa Centro, Sede Roma-SedeLegale Via Pirelli (MI) 32, 20124, Roma
Gruppocasa - Mls Elite Roma, Viale Carnaro  11 A/B, 00141, Roma
CasAsta Immobiliare S.r.l., Via Lima 41, 00198, Roma
Carratelli Real Estate srl, Via di S. Giacomo  18, 00186, Roma
Frimm Centro Servizi  , Via delle Azzorre 392, 392, Roma
Immobildream, viale Regina Marghetita 169, 169, Roma
FT REAL ESTATE, Piazza S.S. Apostoli 73, 00187, Roma
Casa Veloce Cipro, Via Rialto 47, 00136, Roma
RE/MAX Key House, Via di Porta Pertusa 4, 00165, Roma
STUDIO IMMOBILIARE CORONARI SRL, PIAZZA S. SALVATORE IN LAURO 12, 00186, Roma
Link immobiliare, Via Monte Zebio  32, 00195, Roma
Di Porto Immobiliare, Via Tomacelli  101, 101, Roma
Società di Costruzioni, via copenaghen 40, 00144, Roma
Aste Immobiliari Florio, Via Ridolfino Venuti  27, 00162, Roma
RMFDMEX, Via Ridolfino Venuti 27, 00187, Roma
Agenzia Immobiliare Bracciano S.R.L.S., Piazza I Maggio 4, 00062, Bracciano
LEONARDO & LEONARDO, via Apulia 20, 00183, Roma
Roma Immobiliare, Piazza Verbano 1, 00199, Roma
ARIU RE D, via eschilo 72, 00125, Roma
ITL REALI srl, CIRCONVALLAZIONE GIANICOLENSE 112-H, 112, Roma
RE/MAX Abacus, Via Boezio  2, 00193, Roma
Aries Gruppo Immobiliare, Via dei Misenati  42, 00122, Roma
Logica Immobiliare, Piazza Don Luigi Sturzo  7/8, 00047, Marino
Rivolta Immobiliare dal 1956, Viale Carso 11/15A, 00195, Roma
Residenze Immobiliare, Via del Casale Somaini 23, 00148, Roma
COLLALTI IMMOBILIARE dal 1979, Via Gramsci angolo via della Vittoria 23, 00048, Nettuno
Colossea, Via Umberto Giordano  154, 154, Roma
PRIMEX IMMOBILIARE, PIAZZA CLEMENTE ORIGO 19, 00127, Roma
Studio Legale - Aste Giudiziarie, Via Valadier 27, 00193, Roma
Affiliato Tecnocasa: STUDIO LAMARO SRLS, VIA GIUSEPPE CHIOVENDA  100/102, 100, Roma
immobiliare Alessandra, via Traiana 78, 00053, Civitavecchia
RE/MAX Urbest, Via Mario Menghini 34 D/E/F, 00179, Roma
Gabetti Olgiata, Via Cassia  1741/1743, 1741, Roma
Immobiliare  Servizio Casa - Tivoli, Villa Adriana, Via Tiburtina  104, 104, Tivoli
Volpes Case Srl, Via Brenta 2/a, 00198, Roma
Gruppo Casa RE, VIALE AVENTINO  47 49 51, 00153, Roma
Homeplace Group, Via Casilina 1030, 1030, Roma
immobiliare lavagnini, via delle sorgenti 101, 101, Grottaferrata
FRIMM PROGEACASA, via prenestina 305, 305, Roma
Parva Domus Srl, Via Ludovisi 35, 00187, Roma
Affiliato Tecnocasa: STUDIO CASILINA S.R.L.S, Via Casilina 1842/C, 1842, Roma
INVIMIT SGR SpA, Via di Santa Maria in Via 12, 00187, Roma
Operazione Immobiliare, via trionfale  9098, 9098, Roma
RE/MAX Maison, Via Etruria 6 B, 00183, Roma
Immobiliare casa roma srl Affiliato Frimm, Via Gino Frontali 14, 00166, Roma
Studio Mi.Eli., Via del Mare 2/d, 00071, Pomezia
TEMPOCASA Formello, Via Umberto Primo  28, 00060, Formello
Il Consulente Group, Via dei Castani 196/198, 196, Roma
Frimm Winners, Via Merulana 217, 217, Roma
FRIMM MONTESACRO, VIA VAL D'OSSOLA 118, 118, Roma
Tozzi M. servizi immobiliari srl, via aldo moro 97, 00065, Romano
Magnum, via Romana 28, 00061, Sabazia
t&t consulting, Via degli Olmetti 36, 00060, Formello
Enel Italia Srl, Via Regina Margherita 125, 125, Roma
UEMME immobiliare srl, Viale Carnaro 35/C, 00141, Roma
Grimaldi Immobiliare Nettuno, Viale Giacomo Matteotti 90, 00048, Nettuno
Andrea Ricci Immobili, via bernardo Blumenstihl  71, 00135, Roma
Real Casa Immobiliare, Corso Don Minzoni  31, 00045, Roma
Immobiliare Sanna s.r.l., Via Giacomo Matteotti 80, 00053, Civitavecchia
Salerno Immobiliare Group, via fabiano landi 3, 00126, Roma
DCA di De Cristofaro Alessio, VIA LUDOVICO DI SAVOIA  2D, 00185, Roma
AFFILIATO FRIMM CORSO TRIESTE, Corso Trieste 1, 00198, Roma
STUDIO LEGALE & IMMOBILIARE LEONES, Via Gramsci  33, 00048, Nettuno
REMAX BLU, VIA ESCHILO 72s, 00125, Roma
Gabetti Rocca di Papa, Piazza Della Repubblica  1, 00049, Papa
DCA, Via Girolamo Benzoni 38A, 00154, Roma
Affiliato Tecnocasa: IMMOBILI COMMERCIALI CASTELLI ROMANI SRLS, VIA NETTUNENSE  100/102, 100, Gandolfo
Mediazione Casa Colonna, Galliano Colonna 3, 00030, Cesareo
Roma Cooperative, Via Appia Nuova 59, 00183, Roma
Coldwell Banker Commercial - Realty Advisory S.p.A., Via Sardegna  50, 00187, Roma
Gabetti Franchising Agency Valmontone (Rm), Via della Pace SNC, 00038, Valmontone
Gruppo Immobil Rome di D. di Lorenzo, Via dei Giardinetti  177, 177, Roma
Borsinonet, Via Collalto Sabino 128, 128, Roma
Gruppo FISM , Via Giuseppe Pisanelli 1, 00196, Roma
ISTITUTO TORINESE IMMOBILIARE NETWORK S.R.L., Viale oceano atlantico 10, 00144, Roma
Acropoli Srl, Via Tolstoi 2, 00061, Sabazia
VALORECASAgroup, via di prataporci 3 a/5, 00132, Roma
Investire Casa, Via Sambucuccio D'Alando    13/15, 00162, Roma
RG IMMOBILIARE, VIA DELL'ARCHITETTURA    8, 00144, Roma
FRIMM Eden Immobiliare, Via Costanzo Casana  134-136, 134, Roma
Asso Programma Casa srl, Via Corfinio 9, 00183, Roma
Aste Immobili Roma, Circonvallazione Clodia  167, 167, Roma
City Network Agency, Via Filippo Re 7/A, 00071, Pomezia
Caterina Caruso Immobiliare, Largo Plinio  2, 00071, Pomezia
Le Belle Case di Olga, xxx xx, 00042, Anzio
Gabetti Bracciano, Via Salvatore Negretti 34, 00062, Bracciano
Mediasiti, Via Nazario Sauro 18, 00040, Priora
HOLDING CASE, via Mario Ruta  10, 00121, Roma
RE/MAX Italcase, VIA PIO VII  96/98, 00167, Roma
Gabetti RES SRL Roma_Portuense, VIA GUGLIELMO MENGARINI  9/ 11, 00149, Roma
Coldwell Banker Barbera Group, Via Panama 16, 00198, Roma
Punto Immobiliare Infernetto, Via Cilea 15D, 00124, Roma
Cialdi Immobiliare, Via Cialdi 9, 00053, Civitavecchia
- ANGUILLARA - ADO IMMOBILIARE SRL, VIA ANGUILLARESE 75, 00061, Sabazia
Affiliato Tecnocasa: CASTELVERDE VILLAGGIO PRENESTINO S.R.L., via massa di san giuliano  270, 270, Roma
Casa Veloce Tuscolana, Via Licinio Murena 15, 00175, Roma
Centro Agenti Immobiliari srls, Via Giovanni Nicotera  29, 00195, Roma
RE/MAX Opzione Casa, Via Massa di San Giuliano 251, 251, Roma
L'IMMOBILIARE.COM - ANZIO , via Porto Innocenziano 8, 00042, Anzio
ImmobilAste Italia, via Alessandria 130, 130, Roma
RE/MAX Dolcevita, Via Campania 31, 00187, Roma
Casa Veloce Bellinzona, Via Bellinzona 14, 00198, Roma
M.L. Immobiliare Srls, Viale Ungheria  103, 103, Zagarolo
CASEH24, Via Pietro Maroncelli 10, 00047, Marino
General Agency Immobiliare S.R.L., Viale dell'Aeronautica 59, 00144, Roma
simona ippoliti immobiliare, via g. sacconi 19, 00196, Roma
gaia immobiliare sas, via di torre gaia 1, 00133, Roma
RE/MAX Urbest 3, Via Lima 41, 00198, Roma
Elleci consulenza, Via Citerna 10 45, 00191, Roma
Tirreno Immobiliare, Piazza Pia 24, 00042, Anzio
Aureli Immobiliare, Via Tommaso da Celano (1&deg; ag. collegata) 90, 00179, Roma
CASAINCONTRO SRL, via orti della farnesina 146, 146, Roma
Consulenza Tecnica Immobili Srl, Via Sardegna 43, 00187, Roma
CASALEAGUE SRL, via largo genova  4a, 00040, Ardea
IMMOBILI DI PRESTIGIO SRL, Via Po 37, 00198, Roma
Habitat Immobiliare'05, Via Santa Maria 69, 00048, Nettuno
CASA VOGUE IMMOBILIARE SRL, PIAZZALE DELLE PROVINCIE 8, 00162, Roma
PROGEDIL 90, Piazza Enrico Martini  11, 00127, Roma
PROGEDIL case - EUR Torrino, Piazza Enrico Martini  11, 00127, Roma
Prometeo Group Srl, Viale della Piramide Cestia 1, 00153, Roma
Il Cercaffitti, Via Merulana 134, 134, Roma
Gruppo Immobiliare Agenzia Laziale srl, C.so Giacomo Matteotti 153, 153, Laziale
CASAINCONTRO, Via di Priscilla  118/120, 118, Roma
MORACA CARMEN Immobiliare, piazza S.Buttaroni 3, 00045, Roma
ALPHA IMMOBILIARE, Piazza di San Cosimato 67, 00153, Roma
Dea Casa , Via di Tor Millina  2, 00186, Roma
Wohler & Partners, Piazza dei Giuochi Delfici  26, 00135, Roma
NON SOLO AFFITTI - P.T.M. Immobiliare, Via Tiburtina 209, 209, Roma
Toscano Pomezia, Via Orazio  22/a, 00040, Pomezia
Calzini Immobiliare - Mls Elite Roma, Viale Ippocrate   28, 00161, Roma
webcase srl, VIA TUSCOLANA 695, 695, Roma
Progetto Casa 1, via Francesco Petrarca 10, 00034, Colleferro
Domus RE Agency srl, via garibaldi  37, 00045, Roma
MEDIAZIONE CASA ARTENA, Piazza Galilei 27, 00031, Artena
L'IMMOBILIARE!, via della Rosolina 80, 00010, Tivoli
Concept Home, Via Elio Vittorini  41/43, 00144, Roma
WITHOUT LIMITS SRL, Viale Antonio Ciamarra  48, 00173, Roma
Ginauri immobiliare, piazza trilussa  24/25, 00010, Montecelio
Ag. Gori Immobiliare S.R.L., Via Torre Clementina  122, 122, Fiumicino
Gp Soluzioni Immobiliari srl, Via Michele Rosi 75/77, 00054, Fiumicino
intercasa immobiliare, Viale alla Marina n° 18 (Lavinio Mare) 18, 00042, Anzio
iCommunity , Viale Bruno Buozzi 47, 00197, Roma
Sangallo Immobiliare di Filomeno Francesco, Via Capitan Umberto Donati 33, 00048, Nettuno
gruppo immobiliare 2000, via pietro cartoni 7c, 00152, Roma
GELUSO IMMOBILIARE di Geluso Giuseppe, PIAZZA MAZZINI 2, 00048, Nettuno
GRUPPO IMMOBILIARE SRL, Via O. da Gubbio 33-35, 00146, Roma
Grimaldi Immobiliare Piazza Bologna, Via Catania 84 - 86, 00161, Roma
Frimm Academy di Aversa Eleonora, via ferdinando di savoia  3, 00196, Roma
AGRIALBERGHI S.R.L.S, Via dei Lucchesi 26, 00187, Roma
ETICASI DOMUS, via Romeo Rodriguez Pereira 166, 166, Roma
Prinzi Case, Piazza Matteotti 9, 00047, Marino
punto immobiliare bravetta, via di Bravetta 282, 282, Roma
IMMOBILART, Via Maremmana Inf. 115, 115, Montecelio
ABITIAMO SRLS, Via Gramsci 17, 00042, Anzio
Immobil System Affiliato Frimm 430, Via Giovanni De Calvi 65, 00151, Roma
INTEREUR CASA Srl, Via Giuseppe Lucchetti Rossi 44, 00127, Roma
Colossea Immobiliare, Via Umberto Giordano  154, 154, Roma
Studio Professionale Immobiliare s.a.s. di Bergami G. e C., Via Antonio Gramsci 34, 00048, Nettuno
Immobiliare Servizio Casa, via Roma 17, 00012, Montecelio
Immobilart, Largo Genova 2/4/6, 00040, Ardea
Royal Kensington Real Estate S.r.l., Viale Parioli  102, 102, Roma
affiliato frimm - progetto immobiliare 2010 srl, via del torraccio di torrenova 145, 145, Roma
SAMO ITALIA S.r.l., Via Lazzaro Spallanziani 46, 00161, Roma
Statilia Immobiliare S.R.L.S., Via Statilia 4, 00185, Roma
PRATI RE  S.R.L., via teulada 83, 00195, Roma
IMMOBILIARE ÀNCORA, Viale Garibaldi 16, 00069, Romano
Santandrea Luxury Houses - ROMA, Viale di Villa Grazioli 21-23, 00198, Roma
TOSCANO Punto Immobiliare Ardea, Viale san Lorenzo  8, 00040, Ardea
Immobildeal, Piazza Bologna 1, 00162, Roma
Cecili Immobiliare, Piazza Euclide n.31 31, 00197, Roma
Tuscolana Case, Via A. Santovetti  86/Bis, 00046, Grottaferrata
DPR Immobiliare, CORSO VITTORIO EMANUELE II 6, 00066, Manziana
Toscano Roma ponente mare, Via Delle Baleniere 178, 178, Roma
REMAX CASTELLI, Piazza Carducci 8, 00041, Laziale
FGF Immobiliare, del Torraccio di Torrenova 135/A, 135, Roma
ROMACASA, Viale Europa 15, 00144, Roma
FUTURA CASE IMMOBILIARE, Via Pindaro 98, 00125, Roma
IMMOBILEDIL, viale Somalia  60, 00199, Roma
Collina delle Muse, Piazza Attilio Omodeo Zorini 21, 00166, Roma
Cutolo Maurizio  www.casainroma.it, via Jacopo Sannazzaro  6/8, 00141, Roma
RealEs Group S.r.l, Via colli della farnesina 68, 00135, Roma
R.C.S. Immobiliare S.R.L., VIA SETTEVENE PALO 225, 225, Cerveteri
Immobiliare Casa 24h  Centro Servizi per Universitari, circonvallazione Appia 64/66, 00179, Roma
IMMOBILIARE 2000 S.A.S. DI GENESI TEOFANIO & C., Via Alfredo Baccarini 9, 00042, Anzio
Effepicase Srl, Via Nemorense  80, 00199, Roma
Affiliato Tecnocasa: IMMOBILI COMMERCIALI TUSCOLANO S.R.L.S, Via Tuscolana   645/B, 645, Roma
Valutare srl, via Tacito 90, 00193, Roma
Omega Service Consulting, Via Principe Amedeo 166 B, 166, Roma
ALANET S.R.L., Via giuseppe Andreoli 2, 00195, Roma
IMMOBILIARE LUIGI FRESA SRLS, Piazza Garibaldi  5, 00077, Compatri
RE ROMA srl, Via Massa di San Giuliano  141, 141, Roma
Abitare Empire S.R.L., Piazza Filippo Carli 18, 00191, Roma
Quattrucci Servizi Immobiliari, Via G. Quattrucci 2, 00046, Grottaferrata
SV 17 LUXURY HOUSE SRL, Via Flaminia   730/b, 730, Roma
dea immobiliare di paolo merli, Via Andrea Meldola 39, 00143, Roma
GIANETTI CASE di Giovanni Gianetti, via anagnina  236 b1, 236, Grottaferrata
Scuderi Immobiliare, Via della Costituente 40, 00046, Grottaferrata
HOUSE DREAM, viale giulio agricola  23/31, 00174, Roma
Europa Real Estate, Piazza dell'Ateneo Salesiano 13, 00139, Roma
Luxury Estate Italia Srl, Via Cristoforo Colombo 318/320, 318, Roma
Vitale Immobiliare S.R.L., Via Buscemi 44/a, 00133, Roma
D ANDREA IMMOBILI SRL, Viale San Giovanni Battista de La Salle 18, 00073, Gandolfo
Studio Legale Priori, Largo Mario Ciancia 17, 00049, Velletri
AFFILIATO TECNOCASA: IMMOBILI COMMERCIALI MARCONI SRL, via della Magliana    180, 180, Roma
WHR srls, via ignazio guidi 92, 00147, Roma
Class & Country Homes - Pasquarelli, via Giulia 145, 145, Roma
RomaEstCase.it, Via Massa di San Giuliano 321, 321, Roma
SERVIZI IMMOBILIARI UNIVERSITARI, Viale della Piramide Cestia 1/c, 00153, Roma
Lux Brokers, via Nicolo'; Paganini 15, 00198, Roma
Studio Legale Immobiliare, Via Antonio Pacinotti 27, 00146, Roma
Area Immobiliare Sas, via Principe di Napoli 33/35, 00062, Bracciano
Grimaldi Roma - MA.GIA IMMOBILIARE DI ROCCO PISATURO, Via Francesco Crispi (Largo Tritone) 10, 00187, Roma
Cominvestimenti Srls, Via Giovannipoli 26, 00145, Roma
Punto Affiliato Toscano Fregene, Via castellamare 4, 00054, Fiumicino
Affiliato Tecnocasa: IMMOBILI COMMERCIALI ROMA S.R.L.S., VIA APPIA NUOVA  268, 268, Roma
RE/MAX Belladomus , Piazza San Benedetto da Norcia 33, 00071, Pomezia
Prati Re S.r.l., Via Girolamo Cocconi 4, 00171, Roma
Frimm Academy Specialist, via Ferdinando di Savoia  3, 00196, Roma
VR Casa Immobiliare, Viale Cherubino Malpeli 11, 00128, Roma
G&G immobiliare srl, Piazza Augusto Lorenzini 8, 00149, Roma
CRG Immobiliare, Via Gaetano Donizetti 48, 00041, Laziale
LR Immobiliare Mls Elite Roma , viale Somalia  6, 00199, Roma
Ad Maiora, Viale Trieste 44, 00019, Tivoli
Studio Gizzi Immobiliare, Via Antonio Bertoloni 55, 00197, Roma
REPLAT   agenti immobiliari affiliati, Via delle Triremi 43, 00121, Roma
GROSSI IMMOBILIARE, PIAZZA LUIGI RIZZO 1, 00043, Ciampino
Immobiliare Metrocubo                                      Nettuno-Lavinio, Viale Giacomo Matteotti  125, 125, Nettuno
abcasa, Viale Regina Margherita 8, 00049, Velletri
Bacci Immobiliare, Piazza Pietro Merolli 29, 00151, Roma
grandi progetti immobiliari, Via Nomentana  696, 696, Nuova
ENEI, Piazza Garibaldi 24, 00042, Anzio
Stile Casa Finocchio, Via Bolognetta 1/L, 00132, Roma
Romimmobiliare, Via A. Lavezzolo  17, 00127, Roma
STUDIO1, Piazza campo de' fiori 1, 00186, Roma
Medi@teaM Servizi Immobiliari, via dei settemetri 30/a, 00118, Roma
Affiliato Tecnocasa: TEAM ROCCA PRIORA 1 S.R.L., Largo Pallotti 3, 00079, Priora
Carrassi e del Gallo Studio Immobiliare, Via Tor di Nona 24, 00186, Roma
RE/MAX Futura, via Roma 30, 00040, Pomezia
Loy Immobiliare di Stefani Steve Urs, Via Lago Dei Tartari 73, 00012, Montecelio
Affiliato Tecnocasa: IMMOBILI COMMERCIALI MORENA  SRLS, Via Della Stazione di Ciampino  14/C, 00118, Roma
Gabetti franchising agency-PROGETTO ROMA S.R.L., VIALE AGOSTA 9, 00171, Roma
GLOBAL SERVICE SRL 2010, via coni zugna  87, 00054, Fiumicino
S.F. Immobiliare S.r.l., viale della repubblica  28/b, 00047, Marino
CasaElite Roma Immobiliare, Viale Pasteur (angolo Viale Europa) 66, 00144, Roma
Gulliver Immobiliare Real Estate srl, Via della Lucchina ., 00135, Roma
C.V. 1 TIBURTINA, Via Olindo Malagodi 11 A, 00157, Roma
Gruppo ME.CI. S.r.l., Piazza Farnese  44, 00186, Roma
Case a Roma Real Estate, Via Baldo degli Ubaldi  154, 154, Roma
IMMOBILIARE MARELLA SRL, Via Di Selva Candida 197, 197, Roma
SOTTUNTETTO srl, Via Roma 87, 00071, Pomezia
Immobiliare MC., via Jacopo Sannazzaro 6/8, 00141, Roma
Affiliato Tecnocasa: SERVIZI DI IMPRESA srl, Via Del Mare   33, 00071, Pomezia
Elimmobiliare di Cavalieri Maurizio, Via XX Settembre  31, 00062, Bracciano
RoyalHouse , Via Polia 29, 00178, Roma
CO.FIN.CO. RE Services srl, Lungotevere Flaminio 62, 00196, Roma
FRIMM ACADEMY AGENTS, Via Ferdinando Di Savoia 3, 00196, Roma
Solo Affitti - Roma 13 , Via Galla Placidia 13, 00159, Roma
Monti Group Immobiliare  Srl, Via Laura Mantegazza  53, 00152, Roma
Immobiliare Cannavale S.r.l., Viale Prassilla 41, 00124, Roma
Studio Tecnico Immobiliare Panasur, Via Generale C.A.Dalla Chiesa  26, 00045, Roma
Agenzia FRIMM Casalbertone, via Domenico Cucchiari 70, 00159, Roma
Immobiliare Donini Sr, Via Palermo  76, 00055, Ladispoli
Case Roma, Via dei Platani 98/c, 00171, Roma
UNIONE IMMOBILIARE ROMA, VIALE GIUSEPPE MAZZINI 55, 00195, Roma
P.E.B. GESTIONI IMMOBILIARI S.R.L., viale Bartolomeo Cavaceppi 11, 00127, Roma
PACIFICI REAL ESTATE SRL, via g.volpe 28/32, 00133, Roma
Iconacasa Roma Ciampino, Viale Roma 32, 00043, Ciampino
Flaminia immobiliare s.r.l., Lungotevere dei mellini 51, 00193, Roma
DOMUS ENEA SRL, VIA ROMA 86, 00040, Pomezia
Gruppo Casare, via guido cavalcanti 28, 00152, Roma
